City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
614,Maroantsetra,MG,77.32,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
622,Manzanillo,CU,70.43,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
625,Serowe,BW,72.52,overcast clouds,-22.3833,26.7167,Hill View Inn
636,Tigre,AR,76.21,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
640,Kui Buri,TH,84.2,moderate rain,12.0828,99.8543,Rista House & Resort
642,Jaleswar,NP,70.32,broken clouds,26.6471,85.8008,Sundar Mobile Repairing Centre
645,Toamasina,MG,78.8,few clouds,-18.1667,49.3833,Hotel H1
647,Manokwari,ID,80.73,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
648,Belem,BR,77.04,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard
655,Barinitas,VE,76.48,broken clouds,8.7622,-70.4111,Rapsodia EcoTours
656,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
660,Balaipungut,ID,84.61,broken clouds,1.05,101.2833,
661,Presidencia Roque Saenz Pena,AR,84.97,overcast clouds,-26.7852,-60.4388,Hotel Gualok
666,Jardim,BR,71.78,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
667,Harper,LR,77.07,light rain,4.375,-7.7169,Screensaver
669,Coxim,BR,73.29,overcast clouds,-18.5067,-54.76,Hotel Avenida
672,Palauig,PH,83.03,few clouds,15.435,119.9045,Alperi Botique Resort
677,Bull Savanna,JM,71.2,clear sky,17.8868,-77.5902,Big Red's
678,Buluang,PH,81.45,broken clouds,13.3068,123.3425,Enon Beach Resort
679,Karaton,ID,84.36,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
681,Vondrozo,MG,71.65,few clouds,-22.8167,47.2833,
689,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
697,Reporoa,NZ,77.41,overcast clouds,-38.4333,176.35,Reporoa
698,Buala,SB,78.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
