City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
136,Constitucion,-35.3333,-72.4167,56.88,88,70,4.43,CL,2022-02-03 04:27:04,broken clouds
137,Arraial Do Cabo,-22.9661,-42.0278,75.0,88,99,4.76,BR,2022-02-03 04:22:54,overcast clouds
138,Maryville,35.7565,-83.9705,51.94,93,100,3.0,US,2022-02-03 04:25:55,moderate rain
139,Isla Aguada,18.7833,-91.4667,75.63,81,0,9.73,MX,2022-02-03 04:27:05,clear sky
140,Faya,18.3851,42.4509,51.91,69,73,2.15,SA,2022-02-03 04:28:05,broken clouds
141,Tasiilaq,65.6145,-37.6368,14.16,74,99,7.87,GL,2022-02-03 04:28:06,overcast clouds
142,Burns Lake,54.2331,-125.7533,6.22,96,94,2.44,CA,2022-02-03 04:28:06,overcast clouds
143,Nanortalik,60.1432,-45.2371,18.99,79,100,11.97,GL,2022-02-03 04:28:06,overcast clouds
144,Castro,-24.7911,-50.0119,62.38,99,15,6.15,BR,2022-02-03 04:22:57,few clouds
145,Carnarvon,-24.8667,113.6333,89.67,55,3,12.66,AU,2022-02-03 04:28:07,clear sky
146,Pevek,69.7008,170.3133,-6.81,72,2,3.98,RU,2022-02-03 04:22:55,clear sky
147,Menongue,-14.6585,17.691,63.9,60,33,4.34,AO,2022-02-03 04:28:07,scattered clouds
148,Terrace,54.5163,-128.6035,21.11,86,100,16.11,CA,2022-02-03 04:24:34,light snow
149,Biak,-0.9131,122.8766,84.94,60,99,1.28,ID,2022-02-03 04:24:34,overcast clouds
150,Chuy,-33.6971,-53.4616,70.32,90,1,10.89,UY,2022-02-03 04:28:08,light rain
151,Okha,53.5739,142.9478,5.52,91,100,25.26,RU,2022-02-03 04:24:39,light snow
152,Jumla,29.2747,82.1838,40.32,72,93,4.36,NP,2022-02-03 04:28:08,overcast clouds
153,Skibbereen,51.55,-9.2667,50.11,91,93,10.56,IE,2022-02-03 04:28:08,overcast clouds
154,Tura,25.5198,90.2201,69.15,37,63,2.33,IN,2022-02-03 04:22:54,broken clouds
155,Edd,13.9297,41.6925,79.41,68,82,11.61,ER,2022-02-03 04:28:09,broken clouds
156,Bethel,41.3712,-73.414,39.31,90,100,5.75,US,2022-02-03 04:28:09,overcast clouds
157,Sampit,-2.5333,112.95,83.64,77,94,1.03,ID,2022-02-03 04:28:09,overcast clouds
158,Jacksonville,30.3322,-81.6556,62.06,85,20,1.99,US,2022-02-03 04:23:14,few clouds
159,Namibe,-15.1961,12.1522,70.57,74,29,7.47,AO,2022-02-03 04:28:10,scattered clouds
160,Tazovskiy,67.4667,78.7,-13.94,98,89,11.56,RU,2022-02-03 04:28:10,overcast clouds
161,Vilyuysk,63.7553,121.6247,-12.55,95,100,5.68,RU,2022-02-03 04:28:11,overcast clouds
162,Barreirinhas,-2.7469,-42.8264,78.13,81,80,6.13,BR,2022-02-03 04:28:11,broken clouds
163,Topeka,39.0483,-95.678,16.11,55,100,7.0,US,2022-02-03 04:26:16,overcast clouds
164,Dikson,73.5069,80.5464,-5.67,95,100,13.02,RU,2022-02-03 04:28:11,overcast clouds
165,Godda,24.8333,87.2167,71.78,39,0,10.07,IN,2022-02-03 04:28:12,clear sky
166,Ngaoundere,7.3167,13.5833,60.13,26,37,4.63,CM,2022-02-03 04:28:12,scattered clouds
167,Bubaque,11.2833,-15.8333,77.41,79,11,7.65,GW,2022-02-03 04:28:12,few clouds
168,Luderitz,-26.6481,15.1594,67.08,80,58,5.14,NA,2022-02-03 04:28:13,broken clouds
169,Mali,12.079,-12.2982,58.55,13,20,3.27,GN,2022-02-03 04:28:13,few clouds
170,Santa Cruz,-17.8,-63.1667,74.66,94,20,8.05,BO,2022-02-03 04:28:13,few clouds
171,Ginda,30.6945,78.4932,40.14,94,100,2.15,IN,2022-02-03 04:28:14,light rain
172,Vila,42.0304,-8.1588,42.33,79,100,4.29,PT,2022-02-03 04:28:14,overcast clouds
173,Siilinjarvi,63.0833,27.6667,1.42,85,93,4.61,FI,2022-02-03 04:28:14,overcast clouds
174,Salalah,17.0151,54.0924,77.09,27,0,2.3,OM,2022-02-03 04:28:15,clear sky
175,Kudahuvadhoo,2.6708,72.8944,81.82,71,2,8.08,MV,2022-02-03 04:28:15,very heavy rain
176,Alta Floresta,-9.8756,-56.0861,71.17,95,78,1.63,BR,2022-02-03 04:28:15,light rain
177,Yerbogachen,61.2767,108.0108,1.35,94,100,6.49,RU,2022-02-03 04:22:52,overcast clouds
178,Chern,53.4523,36.9145,10.02,97,96,5.03,RU,2022-02-03 04:28:16,overcast clouds
179,Port Augusta,-32.5,137.7667,83.71,38,0,18.97,AU,2022-02-03 04:28:16,clear sky
180,Ossora,59.2353,163.0719,10.38,77,100,10.27,RU,2022-02-03 04:28:16,overcast clouds
181,Chicama,-7.8447,-79.1469,71.64,72,85,7.14,PE,2022-02-03 04:28:17,overcast clouds
182,Tefe,-3.3542,-64.7114,73.76,99,100,2.24,BR,2022-02-03 04:28:17,overcast clouds
183,Butaritari,3.0707,172.7902,81.59,79,100,15.59,KI,2022-02-03 04:28:17,light rain
184,Hayesville,44.986,-122.9829,45.1,84,100,4.0,US,2022-02-03 04:29:18,overcast clouds
185,Kaitangata,-46.2817,169.8464,59.94,71,100,4.68,NZ,2022-02-03 04:29:18,light rain
186,Patrocinio,-18.9439,-46.9925,67.96,95,99,3.15,BR,2022-02-03 04:29:18,overcast clouds
187,Visnes,59.3556,5.2242,42.22,93,100,17.27,NO,2022-02-03 04:29:19,moderate rain
188,Taoudenni,22.6783,-3.9836,60.13,28,95,11.48,ML,2022-02-03 04:29:19,overcast clouds
189,Zhangzhou,24.5133,117.6556,55.33,95,100,1.68,CN,2022-02-03 04:29:19,light rain
190,Saint-Malo,48.5,-1.8333,43.86,93,100,5.99,FR,2022-02-03 04:29:20,overcast clouds
191,Hualmay,-11.0964,-77.6139,70.09,82,83,9.33,PE,2022-02-03 04:29:20,broken clouds
192,Mayya,61.7333,130.2811,-26.28,91,100,3.51,RU,2022-02-03 04:29:20,overcast clouds
193,Lebu,-37.6167,-73.65,58.17,95,66,8.1,CL,2022-02-03 04:29:20,broken clouds
194,Loei,17.4167,101.5,75.11,54,45,3.56,TH,2022-02-03 04:29:21,moderate rain
195,Baykit,61.67,96.37,10.17,95,100,2.62,RU,2022-02-03 04:29:21,light snow
196,Lavrentiya,65.5833,-171.0,0.54,64,1,22.57,RU,2022-02-03 04:29:21,clear sky
197,Tabuk,17.4189,121.4443,79.59,67,5,7.34,PH,2022-02-03 04:29:22,clear sky
198,Katsuura,35.1333,140.3,48.31,44,100,3.24,JP,2022-02-03 04:29:22,overcast clouds
199,Hofn,64.2539,-15.2082,30.99,62,100,13.65,IS,2022-02-03 04:29:22,overcast clouds
200,Milkovo,54.7167,158.6167,22.89,86,100,10.42,RU,2022-02-03 04:29:23,overcast clouds
201,Romny,50.751,33.4747,18.55,95,100,3.85,UA,2022-02-03 04:29:23,overcast clouds
202,Bandarbeyla,9.4942,50.8122,75.54,68,15,16.6,SO,2022-02-03 04:29:23,few clouds
203,Northfield,44.4583,-93.1616,0.68,69,0,0.0,US,2022-02-03 04:29:23,clear sky
204,Tiarei,-17.5333,-149.3333,86.02,80,19,24.76,PF,2022-02-03 04:29:24,few clouds
205,Mount Isa,-20.7333,139.5,85.77,62,75,17.27,AU,2022-02-03 04:29:24,broken clouds
206,Mandaguari,-23.5475,-51.6708,69.24,98,87,6.58,BR,2022-02-03 04:26:00,overcast clouds
